Tanggal,Harga
2021-08-30,26490.0
2021-08-31,25950.0
2021-09-01,25600.0
2021-09-02,25650.0
2021-09-03,25860.0
2021-09-04,25540.0
2021-09-05,25620.0
2021-09-06,24750.0
2021-09-07,25680.0
2021-09-08,25010.0
2021-09-09,25040.0
2021-09-10,24950.0
2021-09-11,24560.0
2021-09-12,24770.0
2021-09-13,25190.0
2021-09-14,25340.0
2021-09-15,25150.0
2021-09-16,24960.0
2021-09-17,24800.0
2021-09-18,25040.0
2021-09-19,24760.0
2021-09-20,25690.0
2021-09-21,25590.0
2021-09-22,25630.0
2021-09-23,26050.0
2021-09-24,25910.0
2021-09-25,25960.0
2021-09-26,26120.0
2021-09-27,26130.0
2021-09-28,26430.0
2021-09-29,26210.0
2021-09-30,26390.0
2021-10-01,26370.0
2021-10-02,26180.0
2021-10-03,26510.0
2021-10-04,28530.0
2021-10-05,27060.0
2021-10-06,27070.0
2021-10-07,27630.0
2021-10-08,28290.0
2021-10-09,28230.0
2021-10-10,28160.0
2021-10-11,29170.0
2021-10-12,28800.0
2021-10-13,28430.0
2021-10-14,28340.0
2021-10-15,28480.0
2021-10-16,28510.0
2021-10-17,28380.0
2021-10-18,28620.0
2021-10-19,29000.0
2021-10-20,28750.0
2021-10-21,28990.0
2021-10-22,29140.0
2021-10-23,29260.0
2021-10-24,29150.0
2021-10-25,28410.0
2021-10-26,28030.0
2021-10-27,27880.0
2021-10-28,28230.0
2021-10-29,28130.0
2021-10-30,28110.0
2021-10-31,28190.0
2021-11-01,28050.0
2021-11-02,28110.0
2021-11-03,28270.0
2021-11-04,28210.0
2021-11-05,28640.0
2021-11-06,28050.0
2021-11-07,27870.0
2021-11-08,27240.0
2021-11-09,27010.0
2021-11-10,27080.0
2021-11-11,27070.0
2021-11-12,27160.0
2021-11-13,27030.0
2021-11-14,26740.0
2021-11-15,26040.0
2021-11-16,26250.0
2021-11-17,26690.0
2021-11-18,27570.0
2021-11-19,27330.0
2021-11-20,27070.0
2021-11-21,27980.0
2021-11-22,28460.0
2021-11-23,30760.0
2021-11-24,28910.0
2021-11-25,29410.0
